Time(min),Temperature(°C),pH,C0(mg/L),Dosage(g/L),qe(mg/g),Source
1440,25,6,5,0.1,41.48,Dosage
1440,25,6,5,0.2,22.09,Dosage
1440,25,6,5,0.4,11.55,Dosage
1440,25,6,5,0.6,7.96,Dosage
1440,25,6,5,0.8,5.95,Dosage
1440,25,6,5,1,4.85,Dosage
1440,25,3,5,0.4,8.38,pH
1440,25,4,5,0.4,9.66,pH
1440,25,5,5,0.4,10.86,pH
1440,25,6,5,0.4,11.49,pH
1440,25,7,5,0.4,11.45,pH
1440,25,8,5,0.4,10.64,pH
1440,25,9,5,0.4,9.95,pH
1440,25,10,5,0.4,8.74,pH
5,25,6,5,0.4,3.61,Kinetics
10,25,6,5,0.4,5.8,Kinetics
15,25,6,5,0.4,6.85,Kinetics
20,25,6,5,0.4,7.52,Kinetics
30,25,6,5,0.4,8.79,Kinetics
45,25,6,5,0.4,9.18,Kinetics
60,25,6,5,0.4,9.98,Kinetics
90,25,6,5,0.4,10.37,Kinetics
120,25,6,5,0.4,10.64,Kinetics
180,25,6,5,0.4,10.99,Kinetics
240,25,6,5,0.4,11.15,Kinetics
360,25,6,5,0.4,11.23,Kinetics
480,25,6,5,0.4,11.34,Kinetics
720,25,6,5,0.4,11.45,Kinetics
1440,25,6,5,0.4,11.59,Kinetics
1440,25,6,0.5,0.4,1.1,LowConc
1440,25,6,1,0.4,2.27,LowConc
1440,25,6,2.5,0.4,5.79,LowConc
1440,25,6,5,0.4,11.63,LowConc
1440,25,6,10,0.4,22.52,LowConc
1440,25,6,5,0.4,8.22,Thermo
1440,35,6,5,0.4,9.65,Thermo
1440,45,6,5,0.4,11.29,Thermo
1440,25,6,10,0.4,13.39,Thermo
1440,35,6,10,0.4,15.07,Thermo
1440,45,6,10,0.4,17.95,Thermo
1440,25,6,20,0.4,25.41,Thermo
1440,35,6,20,0.4,28.73,Thermo
1440,45,6,20,0.4,36.75,Thermo
1440,25,6,40,0.4,34.31,Thermo
1440,35,6,40,0.4,46.58,Thermo
1440,45,6,40,0.4,60.93,Thermo
1440,25,6,60,0.4,47.31,Thermo
1440,35,6,60,0.4,56.45,Thermo
1440,45,6,60,0.4,71.47,Thermo
1440,25,6,80,0.4,52.81,Thermo
1440,35,6,80,0.4,69.78,Thermo
1440,45,6,80,0.4,77.75,Thermo
1440,25,6,100,0.4,61.99,Thermo
1440,35,6,100,0.4,64.73,Thermo
1440,45,6,100,0.4,77.67,Thermo
1440,25,6,150,0.4,57.72,Thermo
1440,35,6,150,0.4,74.47,Thermo
1440,45,6,150,0.4,89.13,Thermo
1440,25,6,200,0.4,69.59,Thermo
1440,35,6,200,0.4,76.29,Thermo
1440,45,6,200,0.4,85.34,Thermo
1440,25,6,300,0.4,70.75,Thermo
1440,35,6,300,0.4,92.06,Thermo
1440,45,6,300,0.4,106.1,Thermo
